,編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
0,RPTNMLRKNHOFFAB38CA,萬安段九小段,9.94,都市：住,10000,59,持分移轉,70002
1,RPTNMLRKNHOFFAB38CA,正義段九小段,0.74,都市：住,10000,59,持分移轉,110036
2,RPTNMLRKNHOFFAB38CA,頂橋子頭段,3.92,都市：住,10000,59,持分移轉,3750002
3,RPUNMLOKNHOFFBB28CA,松觀段,83.0,都市：住,1,1,全筆移轉,8850006
4,RPQOMLRKNHOFFBB28CA,北屯段,28.03,都市：住,601300,2803,持分移轉,5280000
5,RPSQMLTLNHOFFBB98CA,乾溝子段,54.0,都市：住,1,1,全筆移轉,920035
6,RPTQMLOJOHOFFBB48CA,仁德段,25.83,都市：其他:道路用地,48,5,持分移轉,7460000
7,RPTQMLOJOHOFFBB48CA,仁德段,16.88,都市：其他:道路用地,48,5,持分移轉,7470002
8,RPWOMLLKOHOFFBB38CA,錦村段,23.1,都市：住,10000,106,持分移轉,3660000
9,RPVPMLPKNHOFFCB78CA,三塊厝段,26.03,都市：住,10000,123,持分移轉,990000
10,RPRQMLQKNHOFFCB58CA,中仁段,23.5,都市：住,12,1,持分移轉,1240000
11,RPRQMLLLNHOFFCB18CA,民安段,74.05,都市：住,1,1,全筆移轉,16750009
12,RPRQMLLLNHOFFCB18CA,民安段,159.81,都市：住,1,1,全筆移轉,16750075
13,RPRQMLLLNHOFFCB18CA,民安段,0.28,都市：住,1,1,全筆移轉,16750078
14,RPVNMLPKNHOFFDB68CA,金城段,262.0,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,3790000
15,RPVNMLPKNHOFFDB68CA,金城段,2058.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,3800002
16,RPVNMLPKNHOFFDB68CA,金城段,1113.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,3810000
17,RPUNMLPJOHOFFDB58CA,龍宮段,66.97,都市：住,1,1,全筆移轉,1340016
18,RPVNMLKMNHOFFFB58CA,南勢坑段埔子小段,27.0,都市：住,16,1,持分移轉,6110023
19,RPVNMLKMNHOFFFB58CA,南勢坑段埔子小段,66.0,都市：住,1,1,全筆移轉,6110035
20,RPTNMLPJOHOFFFB68CA,六福段,46.48,都市：住,100000,2011,持分移轉,4930000
21,RPPNMLTKNHOFFGB78CA,食水嵙段,15.48,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,6120000
22,RPPNMLTKNHOFFGB78CA,食水嵙段,1.95,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉,6130000
23,RPPNMLTKNHOFFGB78CA,食水嵙段,17.24,非都市：山坡地保育區 ; 非都市編定：暫未編定,4,1,持分移轉,6140005
24,RPPNMLTKNHOFFGB78CA,食水嵙段,23.58,非都市：山坡地保育區 ; 非都市編定：暫未編定,4,1,持分移轉,6140007
25,RPPNMLTKNHOFFGB78CA,食水嵙段,24.41,非都市：山坡地保育區 ; 非都市編定：暫未編定,4,1,持分移轉,6390003
26,RPQNMLKKOHOFFGB08CA,新金星段,132.34,都市：農,1,1,全筆移轉,7450000
27,RPRNMLKKOHOFFGB18CA,新金星段,6.37,都市：農,1,1,全筆移轉,7450002
28,RPRNMLKKOHOFFGB18CA,新金星段,89.37,都市：農,1,1,全筆移轉,7450003
29,RPRNMLKKOHOFFGB18CA,新金星段,11.02,都市：農,1,1,全筆移轉,7450001
30,RPUOMLQKNHOFFIB66CA,內新段,13.82,都市：商,10000,85,持分移轉,7570000
31,RPUOMLRKNHOFFIB76CA,新光段,42.18,都市：住,10000,273,持分移轉,9670000
32,RPVOMLRKNHOFFIB86CA,中華段,87.71,都市：住,1,1,全筆移轉,6220000
33,RPWOMLMLNHOFFIB56CA,長春段,10.78,都市：住,1000,21,持分移轉,5350000
34,RPWOMLMLNHOFFIB56CA,長春段,37.35,都市：住,1000,255,持分移轉,5350024
35,RPWOMLPJOHOFFIB76CA,益民段,51.67,都市：住,4,3,持分移轉,6450000
36,RPROMLPKNHOFFJB98CA,育賢段,142.8,都市：住,1,1,全筆移轉,950007
37,RPUNMLQKNHOFFJB66CA,坪林段,95.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,2430000
38,RPTNMLRLNHOFFJB76CA,坪林段,19.1,非都市：鄉村區 ; 非都市編定：乙種建築用地,231,46,持分移轉,4050000
39,RPTNMLRLNHOFFJB76CA,坪林段,3.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,4060000
40,RPTNMLRLNHOFFJB76CA,坪林段,119.66,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,4070000
41,RPUNMLRLNHOFFJB86CA,坪林段,3.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,4060000
42,RPUNMLRLNHOFFJB86CA,坪林段,90.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,4080000
43,RPUNMLRLNHOFFJB86CA,坪林段,19.1,非都市：鄉村區 ; 非都市編定：乙種建築用地,231,46,持分移轉,4050000
44,RPVNMLRLNHOFFJB96CA,坪林段,12.78,非都市：鄉村區 ; 非都市編定：乙種建築用地,163,14,持分移轉,4160000
45,RPVNMLRLNHOFFJB96CA,坪林段,19.1,非都市：鄉村區 ; 非都市編定：乙種建築用地,231,46,持分移轉,4050000
46,RPVNMLRLNHOFFJB96CA,坪林段,3.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,4060000
47,RPVNMLRLNHOFFJB96CA,坪林段,95.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,4120000
48,RPPNMLPKNHOFFKB78CA,龍津段,66.0,都市：住,1,1,全筆移轉,1550000
49,RPPNMLPKNHOFFKB78CA,龍津段,329.0,都市：其他:道路用地,1,1,全筆移轉,1550001
50,RPPNMLPKNHOFFKB78CA,龍津段,1089.0,都市：住,1,1,全筆移轉,1550002
51,RPOOMLQJOHOFFAB97DA,東勢子段,15.54,都市：住,400,37,持分移轉,900052
52,RPUNMLQKNHOFFBB58DA,同榮段,104.98,都市：住,1,1,全筆移轉,32350000
53,RPRPMLLKOHOFFCB18DA,埔興段,41.0,都市：住,2,1,持分移轉,2140029
54,RPRPMLLKOHOFFCB18DA,埔興段,2.52,都市：住,100,21,持分移轉,2150011
55,RPRPMLLKOHOFFCB18DA,埔興段,16.38,都市：住,100,21,持分移轉,2140026
56,RPRPMLLKOHOFFCB18DA,埔興段,4.41,都市：住,100,21,持分移轉,3930004
57,RPPOMLKLNHOFFHB28DA,家興段,22.42,都市：住,100000,660,持分移轉,8790000
58,RPUNMLRKNHOFFJB76CA,萬福段,2.9,非都市：一般農業區 ; 非都市編定：農牧用地,10000,6,持分移轉,3500000
59,RPUNMLRKNHOFFJB76CA,萬福段,2.9,非都市：一般農業區 ; 非都市編定：農牧用地,10000,6,持分移轉,3500000
60,RPUNMLRKNHOFFJB76CA,萬福段,2.9,非都市：一般農業區 ; 非都市編定：農牧用地,10000,6,持分移轉,3500000
61,RPUNMLKMNHOFFJB88CA,仁平段,60.67,都市：其他:道路用地,96,2,持分移轉,6890000
62,RPXNMLPKNHOFFJB86CA,孝平段,18.55,都市：其他:道路用地,280,9,持分移轉,2450000
63,RPXNMLPKNHOFFJB86CA,孝平段,0.77,都市：其他:道路用地,280,9,持分移轉,2700000
64,RPVNMLOKNHOFFJB56CA,七星段,204.84,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,1220,持分移轉,3080001
65,RPVNMLOKNHOFFJB56CA,七星段,3800.14,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,3080009
66,RPVNMLOKNHOFFJB56CA,七星段,452.0,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,3100000
67,RPVNMLOKNHOFFJB56CA,七星段,64.67,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,1890,持分移轉,3130002
68,RPVOMLLLNHOFFIB98CA,峰東段,38.0,都市：商,1,1,全筆移轉,8840000
69,RPVOMLLLNHOFFIB98CA,峰東段,8.0,都市：商,1,1,全筆移轉,8840001
70,RPSNMLQKNHOFFIB98CA,復興段,50.68,非都市： ; 非都市編定：,1,1,全筆移轉,640001
71,RPRNMLTJOHOFFIB56CA,東榮段,4.06,都市：住,1,1,全筆移轉,1690000
72,RPRNMLTJOHOFFIB56CA,東榮段,5.67,都市：其他:人行步道用地,1,1,全筆移轉,1700000
73,RPQPMLKKOHOFFIB48CA,萬斗六段,2733.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,9500592
74,RPQPMLKKOHOFFIB48CA,萬斗六段,4604.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,9500261
75,RPVOMLLKOHOFFIB98CA,東榮段,368.53,都市：住,1,1,全筆移轉,1680001
76,RPVOMLLKOHOFFIB98CA,東榮段,19.85,都市：其他:人行步道用地,10000,838,持分移轉,1710000
77,RPPNMLOKNHOFFHB38CA,家興段,31.6,都市：住,10000,55,持分移轉,8730000
78,RPWOMLQKNHOFFHB76CA,永興段,305.48,都市：商,1,1,全筆移轉,3720000
79,RPOOMLMKOHOFFFB08CA,東英段,4.19,都市：住,1,1,全筆移轉,2760000
80,RPOOMLMKOHOFFFB08CA,東英段,118.28,都市：住,1,1,全筆移轉,2770000
81,RPPNMLLMNHOFFEB97CA,松子?段,402.91,非都市：特定農業區 ; 非都市編定：農牧用地,19210,4255,持分移轉,2300006
82,RPPNMLLMNHOFFEB97CA,松子?段,328.0,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,2300007
83,RPPNMLLMNHOFFEB97CA,松子?段,354.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,2320000
84,RPPNMLLMNHOFFEB97CA,松子?段,919.0,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,2360000
85,RPPNMLLMNHOFFEB97CA,松子?段,350.0,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,2360008
86,RPPNMLQKNHOFFEB28CA,甲東段,83.19,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,6300000
87,RPXNMLQJOHOFFDB98CA,大洲段,15.48,都市：住,10000,50,持分移轉,3890000
88,RPQNMLQKNHOFFDB28CA,五汴段,55.26,都市：住,10000,102,持分移轉,5640000
89,RPVNMLNLNHOFFDB58CA,豐原段,8.26,都市：商,53543,2500,持分移轉,2040001
90,RPUNMLRLNHOFFDB88CA,四塊厝段,140.0,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,1660001
91,RPWNMLPKNHOFFDB78CA,圳前段,461.58,都市：農,1,1,全筆移轉,870000
92,RPTNMLPLNHOFFCB48CA,寶山段,62.56,都市：住,1,1,全筆移轉,12850006
93,RPTNMLPLNHOFFCB48CA,寶山段,10.6,都市：住,24196,1060,持分移轉,12850007
94,RPTNMLPLNHOFFCB48CA,寶山段,15.79,都市：住,43705,1579,持分移轉,12850018
95,RPSNMLTKNHOFFCB68CA,國安段,18.74,都市：住,10000,35,持分移轉,5930066
96,RPRNMLSKNHOFFCB48CA,黎明段,29.5,都市：住,100000,393,持分移轉,2550000
97,RPVRMLKMNHOFFBB58CA,賴厝?段,26.2,都市：住,10,1,持分移轉,1320001
98,RPVRMLKMNHOFFBB58CA,賴厝?段,12.5,都市：住,10,1,持分移轉,1320006
99,RPWNMLNLNHOFFBB48CA,仁德段,8.55,都市：住,300000,595,持分移轉,9500000
100,RPSNMLLLNHOFFBB87CA,陳平段,15.21,都市：住,10000,105,持分移轉,18770001
101,RPXQMLQKNHOFFBB09CA,錦村段,4.24,都市：商,10000,208,持分移轉,2530011
102,RPXQMLQKNHOFFBB09CA,錦村段,7.82,都市：商,10000,208,持分移轉,2530047
103,RPXQMLQKNHOFFBB09CA,錦村段,29.52,都市：商,10000,208,持分移轉,2530056
104,RPRNMLQKNHOFFBB18CA,錦村段,22.98,都市：住,2026,177,持分移轉,3040156
105,RPRNMLQKNHOFFBB18CA,錦村段,0.79,都市：住,2026,177,持分移轉,3040175
106,RPVOMLPKNHOFFBB58CA,松觀段,22.62,都市：住,10000,298,持分移轉,10840000
107,RPSPMLSLNHOFFAB68CA,旱溪段,12.0,都市：其他:道路用地,1,1,全筆移轉,1790186
108,RPTPMLSLNHOFFAB78CA,旱溪段,22.0,都市：其他:道路用地,1,1,全筆移轉,1850004
109,RPUPMLOLNHOFFAB48CA,樹子腳段,3.0,都市：住,309,3,持分移轉,20031
110,RPUPMLOLNHOFFAB48CA,樹子腳段,96.0,都市：住,1,1,全筆移轉,20042
111,RPUNMLNLNHOFFAB18CA,下橋子頭段,13.75,都市：住,10000,125,持分移轉,2100001
112,RPVNMLTLNHOFFAB88CA,公館段,21.0,都市：其他:道路用地,1,1,全筆移轉,1570064
113,RPQOMLTKNHOFFBB48CA,邱厝子段,37.44,都市：住,5000,569,持分移轉,470004
114,RPSNMLKLNHOFFBB77CA,平田段,606.0,都市：住,1,1,全筆移轉,120000
115,RPSNMLKLNHOFFBB77CA,平田段,168.0,都市：其他:道路用地,1,1,全筆移轉,120001
116,RPSNMLKLNHOFFBB77CA,平田段,606.0,都市：住,1,1,全筆移轉,120002
117,RPSNMLKLNHOFFBB77CA,平田段,127.0,都市：其他:道路用地,1,1,全筆移轉,120003
118,RPSNMLKLNHOFFBB77CA,平田段,104.0,都市：其他:道路用地,1,1,全筆移轉,180000
119,RPSNMLKLNHOFFBB77CA,平田段,80.0,都市：其他:道路用地,1,1,全筆移轉,180001
120,RPPRMLNLNHOFFBB18CA,乾溝子段,17.0,都市：其他:道路用地,2,1,持分移轉,900034
121,RPPRMLNLNHOFFBB18CA,乾溝子段,1.5,都市：其他:道路用地,2,1,持分移轉,900359
122,RPXTMLLMNHOFFBB09CA,北屯段,169.0,都市：其他:乙種工業區,1,1,全筆移轉,1600028
123,RPXOMLLKOHOFFBB48CA,邱厝子段,16.52,都市：住,10000,75,持分移轉,390003
124,RPOOMLRKNHOFFCB18CA,永富段,93.14,都市：住,100000,5172,持分移轉,5360000
125,RPTNMLMLNHOFFCB18CA,三塊厝段,72.0,都市：住,1,1,全筆移轉,7550005
126,RPTNMLMLNHOFFCB18CA,三塊厝段,45.0,都市：住,1,1,全筆移轉,7550015
127,RPUNMLPLNHOFFCB58CA,順和段,19.54,都市：住,10000,324,持分移轉,3400000
128,RPPQMLTLNHOFFCB78CA,惠國段,41.04,都市：其他:第三種新市政中心專用區,10000,134,持分移轉,500000
129,RPXQMLQJOHOFFCB56CA,豐功段,49.09,都市：商,10002,227,持分移轉,2740000
130,RPSNMLMLNHOFFDB18CA,豐原段,29.15,都市：商,20,1,持分移轉,140078
131,RPSNMLMLNHOFFDB18CA,豐原段,0.05,都市：商,20,1,持分移轉,230023
132,RPSNMLMLNHOFFDB18CA,豐原段,1.45,都市：商,20,1,持分移轉,230026
133,RPWNMLQJOHOFFDB88CA,前寮段,15.08,都市：工,1,1,全筆移轉,6490000
134,RPWNMLQJOHOFFDB88CA,前寮段,9.8,都市：工,1,1,全筆移轉,6500000
135,RPWNMLQJOHOFFDB88CA,前寮段,104.5,都市：工,1,1,全筆移轉,6510000
136,RPUNMLRKNHOFFFB98CA,成衣段,26.02,都市：住,100000,696,持分移轉,1950000
137,RPORMLQJOHOFFFB68CA,和平段,116.8,都市：農,200,73,持分移轉,7920001
138,RPORMLQJOHOFFFB68CA,和平段,274.48,都市：農,200,73,持分移轉,7920002
139,RPORMLQJOHOFFFB68CA,和平段,274.48,都市：農,200,73,持分移轉,7920002
140,RPORMLQJOHOFFFB68CA,和平段,68.62,都市：農,200,73,持分移轉,7930000
141,RPORMLQJOHOFFFB68CA,和平段,68.62,都市：農,200,73,持分移轉,7930000
142,RPORMLQJOHOFFFB68CA,和平段,156.95,都市：農,200,73,持分移轉,7930002
143,RPORMLQJOHOFFFB68CA,和平段,156.95,都市：農,200,73,持分移轉,7930002
144,RPORMLQJOHOFFFB68CA,和平段,116.8,都市：農,200,73,持分移轉,7920001
145,RPQNMLMKOHOFFFB18CA,護安段,62.45,都市：住,1,1,全筆移轉,16070000
146,RPSOMLRKNHOFFGB98CA,高簡段,101.08,都市：住,1,1,全筆移轉,14050000
147,RPQNMLNLNHOFFGB38CA,水底寮段上水底寮小段,6.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,261,1,持分移轉,2430000
148,RPXNMLQKNHOFFIB86CA,霧峰段北溝小段,8779.0,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,50673
149,RPQNMLLLNHOFFIB38CA,光日段,14.24,都市：其他:道路用地,4,3,持分移轉,13070000
150,RPRNMLLLNHOFFIB48CA,光日段,0.63,都市：其他:道路用地,30000,796,持分移轉,13190000
151,RPRNMLLLNHOFFIB48CA,光日段,0.6,都市：其他:道路用地,30000,796,持分移轉,13220000
152,RPTOMLOJOHOFFIB98CA,舊街段,17.73,都市：住,10000,5487,持分移轉,4540000
153,RPTOMLOJOHOFFIB98CA,舊街段,14.59,都市：住,10000,4513,持分移轉,4540000
154,RPXOMLNJOHOFFJB76CA,仁平段,26.15,都市：住,100000,1443,持分移轉,4740000
155,RPUNMLNLNHOFFJB09CA,光華段,15.65,非都市：鄉村區 ; 非都市編定：交通用地,1195,87,持分移轉,2240000
156,RPUNMLNLNHOFFJB09CA,光華段,19.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,5,1,持分移轉,2250000
157,SPUNMLNLNHOFFJB56CA,頭汴坑段,1115.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉,2640021
158,RPPOMLRLNHOFFJB09CA,義平段,2.0,都市：住,1,1,全筆移轉,5780000
159,RPXNMLMKOHOFFJB66CA,番子路段,36.09,都市：住,10000,237,持分移轉,1810000
160,RPOOMLMKOHOFFJB48CA,番子路段,36.09,都市：住,10000,237,持分移轉,1810000
161,RPQNMLRKNHOFFKB09CA,頂街段,3.95,都市：其他:機關用地,18,3,持分移轉,3200001
162,RPSNMLRKNHOFFKB66CA,頂街段,79.33,都市：住,1,1,全筆移轉,2330002
163,RPRNMLOJOHOFFKB98DA,龍目井段水裡社小段,85.63,都市：其他:文九用地,30,1,持分移轉,40001
164,RPQNMLQKNHOFFBB18DA,東山段,10.64,都市：住,100000,517,持分移轉,390000
165,RPOOMLKLNHOFFCB67DA,田心段,3.57,都市：住,10000,18,持分移轉,8960000
166,RPPPMLSLNHOFFBB58DA,陳平段,5.0,都市：住,1,1,全筆移轉,29010018
167,RPPPMLSLNHOFFBB58DA,陳平段,2.0,都市：住,1,1,全筆移轉,29010021
168,RPPPMLRKNHOFFGB88DA,新安段,137.92,都市：住,1,1,全筆移轉,2680000
169,RPPPMLRKNHOFFGB88DA,新安段,39.23,都市：住,1,1,全筆移轉,2690000
170,RPXNMLRKNHOFFIB07DA,舊正東段,12.36,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,5310000
171,RPXNMLRKNHOFFIB07DA,舊正東段,128.26,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,5470000
172,RPVNMLPJOHOFFIB66DA,西榮段,29.04,都市：住,20,1,持分移轉,1310000
173,RPWNMLNLNHOFFIB66DA,振坤段,70.2,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,4810000
174,RPWNMLRKNHOFFKB07CA,藝術段,62.69,都市：住,1273,63,持分移轉,8750000
175,RPUNMLTLNHOFFKB17CA,遠東段,44.23,都市：住,70,5,持分移轉,2910000
176,RPQNMLLMNHOFFKB68CA,龍目井段水裡社小段,626.0,都市：住,1,1,全筆移轉,3770008
177,RPQNMLLMNHOFFKB68CA,龍目井段水裡社小段,191.0,都市：其他:道路用地,1,1,全筆移轉,3770009
178,RPQNMLLMNHOFFKB68CA,龍目井段水裡社小段,398.0,都市：住,1,1,全筆移轉,3770010
179,RPQNMLLMNHOFFKB68CA,龍目井段水裡社小段,4402.0,都市：住,1,1,全筆移轉,3770015
180,RPQNMLLMNHOFFKB68CA,龍目井段水裡社小段,125.0,都市：其他:道路用地,1,1,全筆移轉,3770016
181,RPPNMLTLNHOFFJB56CA,豐中段,14.6,都市：住,10000,41,持分移轉,100000
182,RPTNMLLLNHOFFJB78CA,頭汴坑段,74.33,非都市：山坡地保育區 ; 非都市編定：林業用地,3,1,持分移轉,33470000
183,RPUNMLKLNHOFFIB68CA,長春段,69.28,都市：住,1,1,全筆移轉,5410000
184,RPXPMLKKOHOFFIB56CA,大忠段,100.82,都市：住,1,1,全筆移轉,1970009
185,RPXPMLKKOHOFFIB56CA,大忠段,9.43,都市：住,1,1,全筆移轉,2050001
186,RPRNMLRKNHOFFEB58CA,順天段,66.75,都市：其他:道路用地,4,1,持分移轉,4650000
187,RPRNMLRKNHOFFEB58CA,順天段,0.75,都市：其他:道路用地,4,1,持分移轉,4660000
188,RPRNMLRKNHOFFEB58CA,順天段,117.3,都市：其他:兒童公園,20,2,持分移轉,4710000
189,RPRNMLRKNHOFFEB58CA,順天段,13.4,都市：其他:道路用地,20,2,持分移轉,4710001
190,RPTNMLRKNHOFFEB78CA,中山段,243.95,都市：其他:道路用地,3,2,持分移轉,3060000
191,RPRNMLQJOHOFFDB38CA,豐原段,10.46,都市：商,229000,1067,持分移轉,6440149
192,RPRNMLQJOHOFFDB38CA,豐原段,10.46,都市：商,229000,1067,持分移轉,6440149
193,RPRNMLQJOHOFFDB38CA,豐原段,0.21,都市：其他:綠8,229000,1067,持分移轉,6440159
194,RPRNMLQJOHOFFDB38CA,豐原段,0.21,都市：其他:綠8,229000,1067,持分移轉,6440159
195,RPOOMLRKNHOFFDB28CA,溪洲段,21.71,非都市：特定農業區 ; 非都市編定：甲種建築用地,3,1,持分移轉,7540000
196,RPOOMLRKNHOFFDB28CA,溪洲段,19.16,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,7720000
197,RPOOMLRKNHOFFDB28CA,溪洲段,20.21,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,7740000
198,RPOOMLRKNHOFFDB28CA,溪洲段,83.51,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,7750000
199,RPWPMLQJOHOFFCB98CA,惠來厝段,6.31,都市：住,9999,876,持分移轉,5340000
200,RPWPMLQJOHOFFCB98CA,惠來厝段,24.09,都市：住,9999,876,持分移轉,5390000
201,RPQNMLRJOHOFFCB28CA,中仁段,14.9,都市：商,100000,882,持分移轉,3230000
202,RPSOMLSLNHOFFCB78CA,楓樹段,342.0,都市：住,1,1,全筆移轉,5380000
203,RPSOMLSLNHOFFCB78CA,楓樹段,47.0,都市：住,1,1,全筆移轉,5730000
204,RPXQMLOKOHOFFBB98CA,水源段,11.34,都市：住,10000,350,持分移轉,2660003
205,RPURMLTLNHOFFBB66CA,平田段,28.6,都市：住,5,1,持分移轉,5040020
206,RPSOMLTLNHOFFAB68CA,中華段七小段,54.0,都市：商,1,1,全筆移轉,10057
207,RPSOMLTLNHOFFAB68CA,中華段七小段,18.0,都市：商,1,1,全筆移轉,20009
208,RPPPMLRLNHOFFAB28CA,旱溪段,115.0,都市：住,2,1,持分移轉,3140009
209,RPPQMLKKOHOFFAB67CA,下橋子頭段,14.94,都市：住,146800,2987,持分移轉,1560010
210,RPPQMLKKOHOFFAB67CA,下橋子頭段,14.94,都市：住,146800,2987,持分移轉,1560010
211,RPWNMLKLNHOFFAB08CA,下橋子頭段,21.1,都市：住,100000,1144,持分移轉,1820009
212,RPTPMLOLNHOFFAB38CA,平民段八小段,79.0,都市：住,1,1,全筆移轉,40023
213,RPTPMLOLNHOFFAB38CA,平民段八小段,1.0,都市：住,1,1,全筆移轉,50020
214,RPPPMLKLNHOFFBB67CA,松觀段,79.0,都市：住,1,1,全筆移轉,8070025
215,RPWNMLMLNHOFFBB38CA,錦村段,24.57,都市：商,100000,693,持分移轉,1850008
216,RPUOMLNLNHOFFBB38CA,水湳段,15.71,都市：住,10000,283,持分移轉,970002
217,RPVNMLMKOHOFFBB28CA,竹興段,9.58,都市：住,84359,958,持分移轉,1850000
218,RPPNMLMKOHOFFBB67CA,水源段,1.28,都市：住,100000,194,持分移轉,2250006
219,RPPNMLMKOHOFFBB67CA,水源段,2.3,都市：商,100000,194,持分移轉,2250008
220,RPPNMLMKOHOFFBB67CA,水源段,0.02,都市：其他:道路用地,100000,194,持分移轉,2250080
221,RPPNMLMKOHOFFBB67CA,水源段,0.01,都市：其他:道路用地,100000,194,持分移轉,2250081
222,RPVQMLKLNHOFFCB48CA,田心段,13.0,都市：其他:道路用地,1,1,全筆移轉,5750005
223,RPPOMLMLNHOFFCB87CA,福順段,48.48,都市：住,100000,1797,持分移轉,650000
224,RPPOMLMLNHOFFCB87CA,福順段,21.32,都市：住,100000,1797,持分移轉,690000
225,RPXPMLOLNHOFFCB98CA,田心段,4.0,都市：其他:道路用地,8,1,持分移轉,5770001
226,RPXPMLOLNHOFFCB98CA,田心段,5.5,都市：其他:道路用地,8,1,持分移轉,5750039
227,RPXPMLOLNHOFFCB98CA,田心段,2.62,都市：其他:道路用地,8,1,持分移轉,5750038
228,RPXPMLOLNHOFFCB98CA,田心段,0.52,都市：其他:道路用地,400,13,持分移轉,5750042
229,RPXPMLOLNHOFFCB98CA,田心段,2.0,都市：其他:道路用地,8,1,持分移轉,5750043
230,RPPNMLNJOHOFFCB77CA,信安段,92.01,都市：住,1,1,全筆移轉,7740000
231,RPPNMLNJOHOFFCB77CA,信安段,0.8,都市：住,1,1,全筆移轉,7740001
232,RPWOMLOJOHOFFCB68CA,建功段,418.05,都市：商,1,1,全筆移轉,490000
233,RPWOMLOJOHOFFCB68CA,建功段,458.95,都市：商,1,1,全筆移轉,500000
234,RPVNMLOKOHOFFCB58CA,田心段,16.81,都市：商,100000,978,持分移轉,10650000
235,RPXOMLOKOHOFFCB88CA,田心段,20.63,都市：商,100000,1200,持分移轉,10650000
236,RPSPMLLKOHOFFCB18CA,上石碑段,16.9,都市：商,100000,371,持分移轉,17730000
237,RPPRMLNKOHOFFCB28CA,田心段,19.56,都市：商,100000,1138,持分移轉,10650000
238,RPTRMLNKOHOFFCB68CA,田心段,19.6,都市：商,100000,1140,持分移轉,10650000
239,RPURMLNKOHOFFCB78CA,田心段,16.85,都市：商,100000,980,持分移轉,10650000
240,RPXRMLNKOHOFFCB09CA,田心段,19.6,都市：商,100000,1140,持分移轉,10650000
241,RPQSMLNKOHOFFCB48CA,田心段,16.43,都市：商,100000,956,持分移轉,10650000
242,RPSNMLKLNHOFFFB18CA,銀聯段,129.67,都市：住,3,1,持分移轉,10140006
243,RPSNMLKLNHOFFFB18CA,銀聯段,21.0,都市：住,3,1,持分移轉,10140007
244,RPSPMLKLNHOFFFB38CA,南簡段,321.36,都市：其他:文九,100,39,持分移轉,2660003
245,RPTNMLOJOHOFFHB78CA,永興段,3.82,都市：商,1,1,全筆移轉,4350010
246,RPQNMLLKOHOFFHB28CA,大明段,63.69,都市：住,1,1,全筆移轉,4830000
247,RPWNMLLKOHOFFHB88CA,民生段,16.8,都市：其他:道路用地,1,1,全筆移轉,5180000
248,RPWNMLLKOHOFFHB88CA,民生段,29.62,都市：其他:道路用地,1,1,全筆移轉,5200000
249,RPPOMLTJOHOFFIB09CA,新甲段,16.59,都市：商,100000,1292,持分移轉,740000
250,RPPPMLKLNHOFFIB38CA,大孝段,46.92,都市：住,15,1,持分移轉,240000
251,RPXOMLRKNHOFFIB07CA,高鐵段,56.35,都市：其他:道路用地,1,1,全筆移轉,5190000
