,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
0,鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區必忠街４１號十三樓之２,43.15,住,nan,nan,1080418,土地1建物1車位1,十三層，十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810717.0,357.6,3,3,2,有,有,19380000,54195.0,坡道平面,0.0,0,全屋水電管線、窗戶地板衛浴都有整理翻新過、陽台外推,RPPNMLLLNHOFFAE77CA,203.95,81.68,0.0,nan,nan
1,苓雅區,房地(土地+建物),高雄市苓雅區意誠路7號6樓之3,4.09,商,nan,nan,1080426,土地1建物1車位0,六層，走廊,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830927.0,50.54,2,1,1,有,有,2100000,41551.0,nan,0.0,0,nan,RPXOMLPKNHOFFBE09CA,33.83,5.89,0.0,nan,nan
2,新興區,房地(土地+建物)+車位,高雄市新興區新田路100號,44.35,商,nan,nan,1080320,土地2建物1車位2,一層，二層，三層,十四層,店面(店鋪),住商用,鋼筋混凝土造,840717.0,389.61,0,0,0,無,有,38000000,97533.0,坡道平面,0.0,0,nan,RPXNMLMLNHOFFBE78CA,239.66,40.32,0.0,nan,nan
3,苓雅區,土地,正憲段65地號,98.67,其他,nan,nan,1080417,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,4588112,46500.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；登記人數6人。補辦民國68年8月15日市場攤位店鋪應分配土地持分而未辦之借名登記 不另立私契。,RPOOMLRLNHOFFBE48CA,0.0,0.0,0.0,nan,nan
4,前鎮區,房地(土地+建物),高雄市前鎮區南衙路４８號,81.58,住,nan,nan,1080408,土地0建物1車位0,全,三層,透天厝,nan,鋼筋混凝土造,680109.0,175.0,9,2,3,有,無,9000000,51429.0,nan,0.0,0,nan,RPUNMLRKNHOFFCE98CA,175.0,0.0,0.0,nan,nan
5,前鎮區,土地,憲德段47-1地號,50.62,其他,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,721912,14261.0,nan,0.0,0,包含公共設施保留地之交易。；,RPQNMLSKNHOFFCE68CA,0.0,0.0,0.0,nan,nan
6,前鎮區,房地(土地+建物),高雄市前鎮區福民街63巷28號,86.0,住,nan,nan,1080416,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,931214.0,167.53,5,2,3,有,無,9200000,54916.0,nan,0.0,0,急買急賣。；,RPTNMLRLNHOFFCE98CA,153.77,13.76,0.0,nan,nan
7,小港區,房地(土地+建物)+車位,高雄市小港區廈莊六街93號,18.24,商,nan,nan,1080425,土地1建物1車位1,一層，夾層，見其它登記事項,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041002.0,188.94,4,2,2,有,有,7800000,41283.0,坡道平面,0.0,0,nan,RPOPMLOJOHOFFCE28CA,102.33,3.97,0.0,nan,nan
8,小港區,房地(土地+建物)+車位,高雄市小港區下橫路１７號六樓,19.73,住,nan,nan,1080221,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820319.0,117.47,3,2,2,有,有,3150000,26815.0,坡道平面,0.0,0,本買賣標的物外牆及廁所買方已明知有滲漏水之情事，同意自行修繕，賣方並無須負擔上述位置之瑕疵擔保責任。,RPWNMLLKOHOFFCE68CA,96.14,5.76,0.0,nan,nan
9,三民區,土地,鼎中段378地號,81.91,其他,nan,nan,1080425,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,990000,12086.0,nan,0.0,0,包含公共設施保留地之交易。；,RPRPMLPKNHOFFDE78CA,0.0,0.0,0.0,nan,nan
10,三民區,房地(土地+建物),高雄市三民區山東街131號,143.0,住,nan,nan,1080408,土地1建物1車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),nan,鋼筋混凝土造,660520.0,393.88,5,3,4,有,無,34200000,86828.0,nan,0.0,0,nan,RPUPMLPKNHOFFDE09CA,393.88,0.0,0.0,nan,nan
11,三民區,房地(土地+建物),高雄市三民區中華橫路１１１之１９號,21.67,住,nan,nan,1080418,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,560111.0,22.69,2,2,2,有,無,1204204,53072.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXPMLPKNHOFFDE76CA,22.69,0.0,0.0,nan,nan
12,三民區,車位,高雄市三民區建工路211號等公共設施,0.53,商,nan,nan,1080305,土地0建物0車位1,nan,nan,其他,nan,nan,nan,27.86,0,0,0,有,無,158452,nan,坡道平面,27.85,158452,親友、員工或其他特殊關係間之交易。；,RPUNMLOLNHOFFDE88CA,0.0,0.0,0.0,nan,nan
13,三民區,房地(土地+建物),高雄市三民區建工路２２５號四樓,24.02,商,nan,nan,1080305,土地2建物1車位0,四層，電梯樓梯間,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821006.0,136.76,3,2,1,有,有,4800000,35098.0,nan,0.0,0,nan,RPSNMLRLNHOFFDE98CA,107.92,11.2,0.0,nan,nan
14,楠梓區,房地(土地+建物),高雄市楠梓區加仁路７２號,17.16,住,nan,nan,1080322,土地1建物1車位0,一層，二層，騎樓,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,810603.0,99.34,1,2,2,有,有,4900000,49326.0,nan,0.0,0,nan,RPPOMLKLNHOFFEE18CA,83.33,0.0,0.0,nan,nan
15,燕巢區,房地(土地+建物),高雄市燕巢區安林四街６７號,219.89,工,nan,nan,1080218,土地1建物1車位0,一層，二層，三層，四層,四層,廠辦,工業用,見其他登記事項,841021.0,332.09,4,2,4,有,無,11250000,33876.0,nan,0.0,0,nan,RPSQMLQKNHOFFFE66CA,304.36,27.73,0.0,nan,nan
16,岡山區,房地(土地+建物),高雄市岡山區公園西路三段１８１號四樓,13.74,住,nan,nan,1080403,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850220.0,138.65,3,2,2,有,有,3530000,25460.0,nan,0.0,0,含家電傢俱。賣方已相當減價出售予買方，買方同意賣方對本買賣標的物無須負擔瑕疵擔保責任。,RPUOMLMLNHOFFFE98CA,80.57,36.23,0.0,nan,nan
17,梓官區,房地(土地+建物),高雄市梓官區赤崁南路１３０巷１７之１號,271.66,nan,鄉村區,乙種建築用地,1080305,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1070716.0,387.58,6,2,5,有,無,16100000,41540.0,nan,0.0,0,含增建或未登記建物。；土地及建物分次登記案件。前案土地登記收件字號：；,RPSPMLNJOHOFFFE88CA,357.56,30.02,0.0,nan,nan
18,橋頭區,土地,仕和段854-3地號,303.6,其他,nan,nan,1080409,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3278880,10800.0,nan,0.0,0,包含公共設施保留地之交易。；,RPPPMLPJOHOFFFE78CA,0.0,0.0,0.0,nan,nan
19,岡山區,土地,大華段238地號,209.12,nan,山坡地保育區,農牧用地,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6256870,29920.0,nan,0.0,0,向政府機關承購之案件。；,RPSOMLQJOHOFFFE09CA,0.0,0.0,0.0,nan,nan
20,鳳山區,房地(土地+建物),高雄市鳳山區建國路二段７３號,30.05,住,nan,nan,1080501,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890520.0,162.03,1,1,1,有,有,8600000,53077.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLOKNHOFFGE56CA,88.32,9.22,0.0,nan,nan
21,鳳山區,房地(土地+建物),高雄市鳳山區過埤里過昌街55號,68.93,住,nan,nan,1080329,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,830127.0,203.33,6,2,4,有,無,6000000,29509.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTPMLOKNHOFFGE56CA,190.28,13.05,0.0,nan,nan
22,鳳山區,房地(土地+建物),高雄市鳳山區三誠路６１號,18.32,住,nan,nan,1080403,土地1建物1車位0,一層，見其他登記事項,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1010601.0,135.07,0,0,0,無,無,16000000,118457.0,nan,0.0,0,nan,RPSOMLLMNHOFFGE88CA,76.33,12.66,0.0,nan,nan
23,鳥松區,土地,大丘園段449地號,403.72,其他,nan,nan,1080506,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,69400,172.0,nan,0.0,0,包含公共設施保留地之交易。；,RPPNMLQKNHOFFIE98CA,0.0,0.0,0.0,nan,nan
24,鳥松區,房地(土地+建物),高雄市鳥松區松埔北巷４之１４６號十五樓之１,37.18,nan,鄉村區,乙種建築用地,1080410,土地2建物1車位0,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840915.0,173.17,4,3,3,有,有,3880000,22406.0,nan,0.0,0,nan,RPROMLMLNHOFFIE98CA,113.93,23.49,0.0,nan,nan
25,仁武區,土地,草潭段1169地號,25.48,住,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1150000,45133.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLRLNHOFFIE27CA,0.0,0.0,0.0,nan,nan
26,湖內區,土地,海埔段2178地號,557.0,農,nan,nan,1080425,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1500000,2693.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLOKNHOFFJE66CA,0.0,0.0,0.0,nan,nan
27,阿蓮區,房地(土地+建物),高雄市阿蓮區民族路２３８巷１３弄３５號,63.64,住,nan,nan,1080321,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,671015.0,87.73,3,2,2,有,無,1400000,15958.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTNMLLLNHOFFJE09CA,87.73,0.0,0.0,nan,nan
28,林園區,房地(土地+建物),高雄市林園區沿海路四段４８號,118.0,住,nan,nan,1080422,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,740326.0,269.25,3,3,2,有,無,4000000,14856.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；承租人購買修繕費用由買方負擔全部,RPROMLKLNHOFFLE09CA,259.95,9.3,0.0,nan,nan
29,大寮區,土地,中庄南段175地號,863.67,住,nan,nan,1080301,土地6建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,20345200,23557.0,nan,0.0,0,包含公共設施保留地之交易。；,RPUNMLNLNHOFFLE96CA,0.0,0.0,0.0,nan,nan
30,苓雅區,土地,苓洲段418-2地號,6.0,商,nan,nan,1080423,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1200000,200000.0,nan,0.0,0,向政府機關承購之案件。；,RPPOMLNKNHOFFBE18DA,0.0,0.0,0.0,nan,nan
31,前鎮區,土地,仁愛段511-117地號,43.0,商,nan,nan,1080418,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1238400,28800.0,nan,0.0,0,向政府機關承購之案件。；,RPOPMLPKNHOFFCE48DA,0.0,0.0,0.0,nan,nan
32,三民區,房地(土地+建物)+車位,高雄市三民區大豐二路11617號13樓,21.03,住,nan,nan,1080318,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,941202.0,191.58,4,2,2,有,有,9000000,46978.0,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLQKNHOFFDE09DA,99.42,16.91,0.0,nan,nan
33,岡山區,房地(土地+建物),高雄市岡山區柳橋東路18巷11號,42.0,住,nan,nan,1080506,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,940926.0,117.88,3,2,3,有,無,4600000,39023.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLOKNHOFFFE58DA,102.42,15.46,0.0,nan,nan
34,鳳山區,房地(土地+建物),高雄市鳳山區文清街125巷3號4樓之7,23.61,住,nan,nan,1080416,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,701201.0,97.45,3,1,2,有,無,2200000,22576.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPVNMLQJOHOFFGE86DA,97.45,0.0,0.0,nan,nan
35,田寮區,土地,南安老段518-4地號,7.72,nan,山坡地保育區,農牧用地,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2469,320.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLOKNHOFFJE09DA,0.0,0.0,0.0,nan,nan
36,路竹區,土地,文南段522地號,2.33,商,nan,nan,1080311,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,45240,19416.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLNJOHOFFJE98DA,0.0,0.0,0.0,nan,nan
37,路竹區,土地,文南段522地號,2.33,商,nan,nan,1080311,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,45240,19416.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLNJOHOFFJE09DA,0.0,0.0,0.0,nan,nan
38,路竹區,土地,文南段522地號,2.33,商,nan,nan,1080311,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,45240,19416.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLNJOHOFFJE56DA,0.0,0.0,0.0,nan,nan
39,路竹區,土地,文南段522地號,2.33,商,nan,nan,1080311,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,45240,19416.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPUNMLNJOHOFFJE76DA,0.0,0.0,0.0,nan,nan
40,田寮區,土地,牛稠埔段147地號,3882.33,nan,山坡地保育區,農牧用地,1080409,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,3800000,979.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLMKOHOFFJE88DA,0.0,0.0,0.0,nan,nan
41,大寮區,土地,六合段307地號,279.33,農,nan,nan,1080504,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,5915000,21176.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLOKNHOFFLE86DA,0.0,0.0,0.0,nan,nan
42,前鎮區,土地,仁愛段250-41地號,19.6,住,nan,nan,1080501,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,536256,27360.0,nan,0.0,0,向政府機關承購之案件。；,RPSNMLNJNHOFFCE58CD,0.0,0.0,0.0,nan,nan
43,前鎮區,土地,仁愛段250-43地號,1.0,住,nan,nan,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,39440,0.0,nan,0.0,0,向政府機關承購之案件。；,RPTNMLNJNHOFFCE68CD,0.0,0.0,0.0,nan,nan
44,前鎮區,土地,仁愛段5-20地號,49.0,住,nan,nan,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1340640,27360.0,nan,0.0,0,向政府機關承購之案件。；,RPUNMLNJNHOFFCE78CD,0.0,0.0,0.0,nan,nan
45,路竹區,土地,華山段887地號,35.5,nan,nan,nan,1080426,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,78846,2221.0,nan,0.0,0,向政府機關承購之案件。；,RPTNMLKLNHOFFJE09DA,0.0,0.0,0.0,nan,nan
46,路竹區,土地,華山段887-1地號,35.5,nan,nan,nan,1080426,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,78846,2221.0,nan,0.0,0,向政府機關承購之案件。；,RPUNMLKLNHOFFJE56DA,0.0,0.0,0.0,nan,nan
47,大社區,土地,興農段677地號,54.0,住,nan,nan,1080424,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2905200,53800.0,nan,0.0,0,向政府機關承購之案件。；,RPUOMLOKNHOFFIE86DA,0.0,0.0,0.0,nan,nan
48,三民區,房地(土地+建物),高雄市三民區金山路295號,83.67,住,nan,nan,1080326,土地1建物1車位0,全,四層,透天厝,nan,鋼筋混凝土造,760120.0,218.58,5,2,3,有,無,8300000,37972.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLKLNHOFFDE08DA,207.44,11.14,0.0,nan,nan
49,前鎮區,土地,仁愛段397-123地號,75.0,商,nan,nan,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2700000,36000.0,nan,0.0,0,向政府機關承購之案件。；,RPWOMLOKNHOFFCE09DA,0.0,0.0,0.0,nan,nan
50,前鎮區,土地,仁愛段399-60地號,107.0,商,nan,nan,1080501,土地3建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,4183200,39095.0,nan,0.0,0,向政府機關承購之案件。；,RPOPMLOKNHOFFCE38DA,0.0,0.0,0.0,nan,nan
51,前鎮區,土地,仁愛段399-116地號,52.0,商,nan,nan,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1872000,36000.0,nan,0.0,0,向政府機關承購之案件。；,RPRPMLOKNHOFFCE68DA,0.0,0.0,0.0,nan,nan
52,前鎮區,土地,仁愛段399-59地號,37.0,商,nan,nan,1080501,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1332000,36000.0,nan,0.0,0,向政府機關承購之案件。；,RPSPMLOKNHOFFCE78DA,0.0,0.0,0.0,nan,nan
53,大寮區,土地,中庄北段955-19地號,98.18,住,nan,nan,1080503,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,6352246,64700.0,nan,0.0,0,向政府機關承購之案件。；,RPRNMLKMNHOFFLE09CA,0.0,0.0,0.0,nan,nan
54,六龜區,土地,新威段901-3地號,1010.0,nan,山坡地保育區,農牧用地,1080430,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,350000,347.0,nan,0.0,0,有民情風俗因素之交易。；,RPPNMLLLNHOFFKE78CA,0.0,0.0,0.0,nan,nan
55,美濃區,土地,中壇段二小段4339-8地號,58.5,nan,特定農業區,甲種建築用地,1080427,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,250000,4274.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPPNMLPKNHOFFKE09CA,0.0,0.0,0.0,nan,nan
56,美濃區,土地,竹頭角段2019地號,829.0,nan,特定農業區,農牧用地,1080502,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,1450000,1749.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPSNMLRKNHOFFKE96CA,0.0,0.0,0.0,nan,nan
57,湖內區,土地,慈濟段838地號,119.85,其他,nan,nan,1080224,土地2建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,543750,4537.0,nan,0.0,0,包含公共設施保留地之交易。；,SPSNMLMKOHOFFJE56CA,0.0,0.0,0.0,nan,nan
58,路竹區,土地,文南段524-9地號,48.44,住,nan,nan,1080416,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,350269,7231.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLQKNHOFFJE09CA,0.0,0.0,0.0,nan,nan
59,路竹區,土地,文南段524-7地號,61.77,住,nan,nan,1080419,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,446659,7231.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLQKNHOFFJE56CA,0.0,0.0,0.0,nan,nan
60,仁武區,房地(土地+建物),高雄市仁武區仁林路２６７巷１弄２號,169.61,nan,鄉村區,乙種建築用地,1080419,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,680810.0,77.6,2,2,1,有,無,2000000,25773.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；親友間買賣。,RPXNMLTLNHOFFIE57CA,77.6,0.0,0.0,nan,nan
61,鳳山區,房地(土地+建物)+車位,高雄市鳳山區福祥街８５號,18.23,住,nan,nan,1080420,土地1建物1車位2,一層，騎樓，夾層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,880110.0,132.53,3,2,2,有,無,4800000,36218.0,坡道平面,0.0,0,nan,RPSPMLQJOHOFFGE66CA,65.48,0.0,0.0,nan,nan
62,鳳山區,房地(土地+建物),高雄市鳳山區文藝街２５８號,36.69,住,nan,nan,1080418,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,671023.0,81.76,3,2,1,有,無,1700000,20793.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；親屬間買賣,RPUQMLQKNHOFFGE96CA,81.76,0.0,0.0,nan,nan
63,鳳山區,房地(土地+建物),高雄市鳳山區勝利路８７號四樓,44.21,住,nan,nan,1080408,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010605.0,178.1,3,2,2,有,無,5140000,28860.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLLLNHOFFGE56CA,101.02,10.69,0.0,nan,nan
64,鳳山區,房地(土地+建物),高雄市鳳山區南福街１６２號,20.53,住,nan,nan,1080410,土地1建物1車位0,一層，二層，騎樓,七層,店面(店鋪),住商用,鋼筋混凝土造,810716.0,123.81,2,1,2,有,有,5950000,48058.0,nan,0.0,0,nan,RPXOMLMLNHOFFGE76CA,88.4,7.5,0.0,nan,nan
65,鳳山區,房地(土地+建物),高雄市鳳山區文昌一街１８巷１８號,277.46,工,nan,nan,1080417,土地2建物1車位0,一層，二層，三層,三層,工廠,見其他登記事項,見其他登記事項,961130.0,410.54,0,0,0,無,無,30950000,nan,nan,0.0,0,nan,RPWPMLOKNHOFFGE86CA,392.29,18.25,0.0,nan,nan
66,鳳山區,土地,正義段74-21地號,108.56,住,nan,nan,1080426,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,4838092,44566.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPVNMLPKNHOFFGE66CA,0.0,0.0,0.0,nan,nan
67,鳳山區,房地(土地+建物),高雄市鳳山區文東街２０４號,30.5,住,nan,nan,1080427,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,690322.0,64.84,5,1,2,有,無,3000000,46268.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWNMLPKNHOFFGE76CA,64.84,0.0,0.0,nan,nan
68,鳳山區,房地(土地+建物)+車位,高雄市鳳山區中山西路３６４之１５號九樓,17.66,住,nan,nan,1080323,土地1建物1車位1,九層，十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860228.0,152.43,4,2,2,有,有,6880000,45135.0,坡道平面,25.24,0,nan,RPQOMLPKNHOFFGE88CA,86.37,9.96,0.0,nan,nan
69,左營區,房地(土地+建物),高雄市左營區果峰街５０巷３號８樓,33.06,住,nan,nan,1080415,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,741129.0,101.09,3,2,1,有,有,3300000,32644.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；急買急賣。；,RPWNMLOJOHOFFEE09CA,74.32,14.5,0.0,nan,nan
70,左營區,土地,左南段1818-3地號,30.12,其他,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,252193,8373.0,nan,0.0,0,包含公共設施保留地之交易。；,RPUOMLSKNHOFFEE76CA,0.0,0.0,0.0,nan,nan
71,三民區,房地(土地+建物)+車位,高雄市三民區陽明路２３９巷５號１２樓,18.1,住,nan,nan,1080416,土地1建物1車位1,十二層，電梯樓梯間,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,820927.0,122.33,3,2,2,有,有,5300000,43325.0,坡道平面,0.0,800000,含增建或未登記建物。；,RPRNMLKLNHOFFDE18CA,82.34,8.98,0.0,nan,nan
72,三民區,房地(土地+建物),高雄市三民區士良街８４巷１弄７號,52.67,商,nan,nan,1080413,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,570815.0,73.14,2,2,2,有,無,2300000,31447.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；有增加鐵皮屋,RPTNMLKLNHOFFDE38CA,73.14,0.0,0.0,nan,nan
73,三民區,房地(土地+建物),高雄市三民區鼎華路１７８號十八樓之３,6.26,商,nan,nan,1080403,土地1建物1車位0,十八層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840419.0,64.06,1,2,1,有,有,2360000,36840.0,nan,0.0,0,nan,RPXOMLQKNHOFFDE76CA,53.86,4.91,0.0,nan,nan
74,三民區,土地,長明段2地號,46.77,其他,nan,nan,1080422,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2305360,49291.0,nan,0.0,0,包含公共設施保留地之交易。；,RPROMLSKNHOFFDE98CA,0.0,0.0,0.0,nan,nan
75,三民區,房地(土地+建物),高雄市三民區民族一路２８８巷６弄２５號,58.34,商,nan,nan,1080328,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),nan,鋼筋混凝土造,670524.0,142.15,5,3,3,有,無,8000000,56279.0,nan,0.0,0,含增建或未登記建物。；,RPXNMLRKNHOFFDE76CA,142.15,0.0,0.0,nan,nan
76,小港區,房地(土地+建物),高雄市小港區新豐街１１０號十一樓,23.77,住,nan,nan,1080325,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,850911.0,152.23,3,2,2,有,有,4000000,26276.0,nan,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLTJOHOFFCE78CA,100.67,13.71,0.0,nan,nan
77,前鎮區,土地,鎮昌段293-77地號,1354.0,住,nan,nan,1080506,土地4建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,55243200,40800.0,nan,0.0,0,向政府機關承購之案件。；,RPTNMLKKOHOFFCE28CA,0.0,0.0,0.0,nan,nan
78,前鎮區,土地,鎮昌段293-60地號,58.0,住,nan,nan,1080506,土地1建物0車位0,nan,nan,其他,nan,nan,nan,0.0,0,0,0,有,無,2366400,40800.0,nan,0.0,0,向政府機關承購之案件。；,RPUNMLKKOHOFFCE38CA,0.0,0.0,0.0,nan,nan
79,小港區,房地(土地+建物)+車位,高雄市小港區飛機路３４７號,122.19,住,nan,nan,1080506,土地1建物1車位1,一層，二層，三層，屋頂突出物，騎樓,六層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,920708.0,382.21,0,0,0,無,有,9018889,23597.0,坡道平面,0.0,0,向政府機關標購之案件,RPWPMLNJOHOFFCE98CA,199.6,32.08,0.0,nan,nan
