,編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
0,RPPNMLLLNHOFFAE77CA,27.0,285.63,住家用,鋼筋混凝土造,1981年7月17日,十四層,十三層 十四層 陽台 露台
1,RPPNMLLLNHOFFAE77CA,27.0,71.97,見使用執照,鋼筋混凝土造,1981年7月17日,十四層,nan
2,RPXOMLPKNHOFFBE09CA,25.0,39.72,住家用,鋼筋混凝土造,1983年9月27日,十一層,六層 陽台 走廊
3,RPXOMLPKNHOFFBE09CA,25.0,10.82,見使用執照,鋼筋混凝土造,1983年9月27日,十一層,nan
4,RPXNMLMLNHOFFBE78CA,24.0,279.98,住商用,鋼筋混凝土造,1984年7月17日,十四層,一層 二層 三層 陽台 花台
5,RPXNMLMLNHOFFBE78CA,24.0,109.63,見使用執照,鋼筋混凝土造,1984年7月17日,十四層,nan
6,RPUNMLRKNHOFFCE98CA,40.0,175.0,nan,鋼筋混凝土造,1968年1月9日,三層,一層 二層 三層 騎樓 地下層
7,RPTNMLRLNHOFFCE98CA,14.0,167.53,住家用,鋼筋混凝土造,1993年12月14日,四層,一層 二層 三層 四層 陽台 雨遮 見其他登記事項
8,RPOPMLOJOHOFFCE28CA,4.0,106.3,集合住宅,鋼筋混凝土造,104年10月2日,十五層,一層 陽台 夾層 見其他登記事項
9,RPOPMLOJOHOFFCE28CA,4.0,82.64,本共有部分之項目有防空避難室兼停車空間、門廊、車道、沿街式頂蓋型、廁所、管委會使用空間、樓梯間、機械室及水箱等９項。,鋼筋混凝土造,104年10月2日,十五層,nan
10,RPWNMLLKOHOFFCE68CA,26.0,101.9,住家用,鋼筋混凝土造,1982年3月19日,七層,六層 陽台
11,RPWNMLLKOHOFFCE68CA,26.0,15.57,見使用執照,鋼筋混凝土造,1982年3月19日,七層,nan
12,RPUPMLPKNHOFFDE09CA,42.0,393.88,nan,鋼筋混凝土造,1966年5月20日,四層,一層 二層 三層 四層 騎樓
13,RPXPMLPKNHOFFDE76CA,52.0,22.69,住家用,加強磚造,1956年1月11日,二層,一層 二層
14,RPUNMLOLNHOFFDE88CA,25.0,27.86,見使用執照,鋼筋混凝土造,1982年10月6日,十三層,nan
15,RPSNMLRLNHOFFDE98CA,25.0,119.12,住家用,鋼筋混凝土造,1982年10月6日,十三層,四層 陽台 電梯樓梯間
16,RPSNMLRLNHOFFDE98CA,25.0,17.64,見使用執照,鋼筋混凝土造,1982年10月6日,十三層,nan
17,RPPOMLKLNHOFFEE18CA,27.0,83.33,住商用,鋼筋混凝土造,1981年6月3日,七層,一層 二層 騎樓
18,RPPOMLKLNHOFFEE18CA,27.0,16.01,見使用執照,鋼筋混凝土造,1981年6月3日,七層,nan
19,RPSQMLQKNHOFFFE66CA,23.0,332.09,工業用,鋼骨鋼筋混凝土造，鋼筋混凝土結構造,1984年10月21日,四層,一層 二層 三層 四層 陽台
20,RPUOMLMLNHOFFFE98CA,23.0,116.8,住家用,鋼筋混凝土造,1985年2月20日,十六層,四層 陽台 露台
21,RPUOMLMLNHOFFFE98CA,23.0,21.85,共有部份,鋼筋混凝土造,1985年2月20日,十六層,nan
22,RPSPMLNJOHOFFFE88CA,1.0,387.58,住家用,鋼筋混凝土造,107年7月16日,四層,一層 二層 三層 四層 陽台
23,RPVNMLOKNHOFFGE56CA,19.0,97.41,住家用,鋼筋混凝土造,1989年5月20日,十二層,五層 陽台
24,RPVNMLOKNHOFFGE56CA,19.0,0.14,住家用,鋼筋混凝土造,1989年5月20日,十二層,一層 陽台
25,RPVNMLOKNHOFFGE56CA,19.0,64.39,共有部份,鋼筋混凝土造,1989年5月20日,十二層,nan
26,RPVNMLOKNHOFFGE56CA,19.0,0.09,共有部份,鋼筋混凝土造,1989年5月20日,十二層,nan
27,RPTPMLOKNHOFFGE56CA,25.0,203.33,住商用,鋼筋混凝土造,1983年1月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
28,RPSOMLLMNHOFFGE88CA,7.0,88.99,店舖、集合住宅,鋼筋混凝土,101年6月1日,十五層,一層 陽台 見其他登記事項
29,RPSOMLLMNHOFFGE88CA,7.0,46.08,共有部份,鋼筋混凝土,101年6月1日,十五層,nan
30,RPROMLMLNHOFFIE98CA,24.0,137.42,住家用,鋼筋混凝土造,1984年9月15日,十六層,十五層 十六層 陽台
31,RPROMLMLNHOFFIE98CA,24.0,15.45,共有部份,鋼筋混凝土造,1984年9月15日,十六層,nan
32,RPROMLMLNHOFFIE98CA,24.0,20.3,見使用執照,鋼筋混凝土造,1984年9月15日,十六層,nan
33,RPTNMLLLNHOFFJE09CA,40.0,87.73,住商用,加強磚造,1967年10月15日,二層,一層 二層 騎樓
34,RPROMLKLNHOFFLE09CA,34.0,269.25,住商用,鋼筋混凝土造,1974年3月26日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
35,RPUNMLQKNHOFFDE09DA,13.0,116.33,住家用,鋼筋混凝土造,1994年12月2日,十五層,十三層 陽台 雨遮
36,RPUNMLQKNHOFFDE09DA,13.0,75.25,：停車空間、防空避難室兼停車空間、樓梯間、機械室、頂蓋型開放空間等,鋼筋混凝土造,1994年12月2日,十五層,nan
37,RPPNMLOKNHOFFFE58DA,14.0,117.88,住商用,鋼筋混凝土造,1994年9月26日,四層,一層 二層 三層 四層 陽台 見其他登記事項
38,RPVNMLQJOHOFFGE86DA,37.0,97.45,住家用,鋼筋混凝土造,1970年12月1日,七層,四層
39,RPPNMLKLNHOFFDE08DA,32.0,218.58,nan,鋼筋混凝土造,1976年1月20日,四層,一層 二層 三層 四層 陽台 騎樓 地下層
40,RPXNMLTLNHOFFIE57CA,40.0,77.6,住家用,加強磚造,1968年8月10日,一層,一層
41,RPSPMLQJOHOFFGE66CA,20.0,65.48,商業用,鋼筋混凝土造,1988年1月10日,九層,一層 騎樓 夾層
42,RPSPMLQJOHOFFGE66CA,20.0,67.05,共有部份,鋼筋混凝土造,1988年1月10日,九層,nan
43,RPUQMLQKNHOFFGE96CA,40.0,81.76,住家用,鋼筋混凝土造,1967年10月23日,四層,一層
44,RPXNMLLLNHOFFGE56CA,7.0,111.71,集合住宅,鋼筋混凝土造,101年6月5日,十四層,四層 陽台
45,RPXNMLLLNHOFFGE56CA,7.0,66.39,本共有部分之項目有：防空避難室兼停車空間、停車空間、門廊、安全梯、緊急升降機、梯廳、排煙室、電梯、污水控制室、發電機室、門廳、進排風管道、過樑、廁所、社區活動室、管理站、活動室、社區教室、警衛室、走廊、管委會使用空間、樓梯間、水箱、電梯機械房等項。,鋼筋混凝土造,101年6月5日,十四層,nan
46,RPXOMLMLNHOFFGE76CA,27.0,95.9,住商用,鋼筋混凝土造,1981年7月16日,七層,一層 二層 陽台 平台 騎樓
47,RPXOMLMLNHOFFGE76CA,27.0,27.91,共有部份,鋼筋混凝土造,1981年7月16日,七層,nan
48,RPWPMLOKNHOFFGE86CA,11.0,410.54,廠房、門廊、單身員工宿舍,鋼筋混凝土,1996年11月30日,三層,一層 二層 三層 陽台 雨遮
49,RPWNMLPKNHOFFGE76CA,39.0,64.84,住商用,鋼筋混凝土造,1969年3月22日,三層,一層 二層 三層 騎樓 地下層
50,RPQOMLPKNHOFFGE88CA,22.0,96.33,住家用,鋼筋混凝土造,1986年2月28日,十六層,九層 十層 陽台 花台
51,RPQOMLPKNHOFFGE88CA,22.0,56.1,共有部份,鋼筋混凝土造,1986年2月28日,十六層,nan
52,RPWNMLOJOHOFFEE09CA,33.0,88.82,住家用,鋼筋混凝土造,1974年11月29日,十二層,八層 陽台
53,RPWNMLOJOHOFFEE09CA,33.0,12.27,nan,鋼筋混凝土造,1974年11月29日,十二層,nan
54,RPRNMLKLNHOFFDE18CA,26.0,91.32,住家用,鋼筋混凝土造,1982年9月27日,十四層,十二層 陽台 電梯樓梯間
55,RPRNMLKLNHOFFDE18CA,26.0,31.01,見使用執照,鋼筋混凝土造,1982年9月27日,十四層,nan
56,RPTNMLKLNHOFFDE38CA,51.0,73.14,住家用,加強磚造,1957年8月15日,二層,一層 二層
57,RPXOMLQKNHOFFDE76CA,24.0,58.77,住家用,鋼筋混凝土造,1984年4月19日,十九層,十八層 陽台 電梯樓梯間
58,RPXOMLQKNHOFFDE76CA,24.0,5.29,見使用執照,鋼筋混凝土造,1984年4月19日,十九層,nan
59,RPXNMLRKNHOFFDE76CA,41.0,142.15,nan,鋼筋混凝土造,1967年5月24日,三層,一層 二層 三層 騎樓
60,RPQNMLTJOHOFFCE78CA,23.0,114.38,集合住宅,鋼筋混凝土造,1985年9月11日,十二層,十一層 陽台
61,RPQNMLTJOHOFFCE78CA,23.0,37.85,：避難室、機械室、樓梯間、停車空間、水箱,鋼筋混凝土造,1985年9月11日,十二層,nan
62,RPWPMLNJOHOFFCE98CA,16.0,231.68,住商用,鋼筋混凝土造,1992年7月8日,六層,一層 二層 三層 陽台 屋頂突出物 騎樓 雨遮
63,RPWPMLNJOHOFFCE98CA,16.0,150.53,共有部份,鋼筋混凝土造,1992年7月8日,六層,nan
64,RPXPMLNJOHOFFCE09CA,16.0,231.68,住商用,鋼筋混凝土造,1992年7月8日,六層,一層 二層 三層 陽台 屋頂突出物 騎樓 雨遮
65,RPXPMLNJOHOFFCE09CA,16.0,150.53,共有部份,鋼筋混凝土造,1992年7月8日,六層,nan
66,RPPNMLPKNHOFFAE08CA,27.0,56.36,住家用,鋼筋混凝土造,1980年12月6日,十二層,七層 陽台
67,RPPNMLPKNHOFFAE08CA,27.0,30.25,見使用執照,鋼筋混凝土造,1980年12月6日,十二層,nan
68,RPWOMLPKNHOFFAE88CA,52.0,68.06,nan,加強磚造,1956年1月21日,二層,一層 二層
69,RPQOMLNLNHOFFAE18CA,14.0,60.96,住家用,鋼筋混凝土造,1994年6月16日,十四層,二層 陽台 雨遮
70,RPQOMLNLNHOFFAE18CA,14.0,26.74,共有部份,鋼筋混凝土造,1994年6月16日,十四層,nan
71,RPQPMLKKOHOFFAE97CA,11.0,126.83,住家用,鋼筋混凝土造,1997年4月2日,十五層,十五層 陽台
72,RPQPMLKKOHOFFAE97CA,11.0,77.71,共有部份,鋼筋混凝土造,1997年4月2日,十五層,nan
73,RPROMLPKNHOFFBE48CA,22.0,40.49,住家用,鋼筋混凝土造,1986年1月4日,十四層,三層
74,RPROMLPKNHOFFBE48CA,22.0,21.38,見使用執照,鋼筋混凝土造,1986年1月4日,十四層,nan
75,RPPPMLPKNHOFFCE48CA,41.0,113.32,nan,鋼筋混凝土造,1967年7月30日,三層,一層 二層 三層 地下層
76,RPUNMLNJOHOFFCE58CA,1.0,64.04,集合住宅,鋼筋混凝土,107年6月20日,十六層,七層 陽台 雨遮
77,RPUNMLNJOHOFFCE58CA,1.0,18.1,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
78,RPUNMLNJOHOFFCE58CA,1.0,40.67,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
79,RPWNMLNJOHOFFCE78CA,1.0,64.04,集合住宅,鋼筋混凝土,107年6月20日,十六層,六層 陽台 雨遮
80,RPWNMLNJOHOFFCE78CA,1.0,18.1,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
81,RPWNMLNJOHOFFCE78CA,1.0,40.67,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
82,RPXNMLNJOHOFFCE88CA,1.0,76.89,集合住宅,鋼筋混凝土,107年6月20日,十六層,三層 陽台 雨遮
83,RPXNMLNJOHOFFCE88CA,1.0,22.93,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
84,RPXNMLNJOHOFFCE88CA,1.0,45.19,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
85,RPPOMLNJOHOFFCE18CA,nan,76.89,集合住宅,鋼筋混凝土,107年6月20日,十六層,十一層 陽台 雨遮
86,RPPOMLNJOHOFFCE18CA,nan,22.93,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
87,RPPOMLNJOHOFFCE18CA,nan,45.19,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
88,RPQOMLNJOHOFFCE28CA,1.0,64.04,集合住宅,鋼筋混凝土,107年6月20日,十六層,十層 陽台 雨遮
89,RPQOMLNJOHOFFCE28CA,1.0,18.1,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
90,RPQOMLNJOHOFFCE28CA,1.0,40.67,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
91,RPROMLNJOHOFFCE38CA,1.0,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,六層 陽台 雨遮
92,RPROMLNJOHOFFCE38CA,1.0,15.36,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
93,RPROMLNJOHOFFCE38CA,1.0,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
94,RPTOMLNJOHOFFCE58CA,nan,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,十一層 陽台 雨遮
95,RPTOMLNJOHOFFCE58CA,nan,15.36,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
96,RPTOMLNJOHOFFCE58CA,nan,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
97,RPUOMLNJOHOFFCE68CA,1.0,76.89,集合住宅,鋼筋混凝土,107年6月20日,十六層,五層 陽台 雨遮
98,RPUOMLNJOHOFFCE68CA,1.0,22.93,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,nan
99,RPUOMLNJOHOFFCE68CA,1.0,45.19,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,nan
100,RPTPMLQKNHOFFDE09CA,45.0,153.84,nan,加強磚造,1963年1月14日,三層,一層 二層 三層 騎樓
101,RPUNMLQKNHOFFEE09CA,5.0,129.95,住商用,鋼筋混凝土造,102年11月6日,十五層,一層 二層 陽台
102,RPUNMLQKNHOFFEE09CA,5.0,92.18,共有部份,鋼筋混凝土造,102年11月6日,十五層,nan
103,RPVOMLSKNHOFFEE86CA,3.0,171.32,集合住宅,鋼筋混凝土,104年10月28日,五層,一層 二層 三層 四層 五層 陽台
104,RPOOMLOJOHOFFFE48CA,22.0,143.55,住家用,鋼筋混凝土造,1986年5月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物
105,RPOOMLOJOHOFFFE48CA,22.0,57.43,停車空間,鋼筋混凝土造,1986年5月27日,四層,nan
106,RPPNMLQKNHOFFGE78CA,20.0,314.73,見使用執照,鋼筋混凝土造,1987年9月28日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物 騎樓
107,RPQNMLLJOHOFFGE38CA,37.0,472.83,工業用,鋼造,1970年10月23日,一層,一層 地下層
108,RPQNMLLJOHOFFGE38CA,30.0,1739.02,見使用執照,鋼筋混凝土造,1978年6月22日,二層,一層 二層 屋頂突出物 地下層
109,RPQNMLLJOHOFFGE38CA,30.0,897.8,見使用執照,鋼筋混凝土造,1978年6月22日,二層,一層 二層 屋頂突出物 地下層
110,RPRNMLLLNHOFFJE88CA,45.0,90.96,住家用,加強磚造,1963年6月10日,二層,一層 二層
111,RPSNMLPKNHOFFJE66CA,nan,304.68,農舍,加強磚造,nan,二層,一層 二層
112,RPWNMLQKNHOFFJE17CA,24.0,75.96,住商用,鋼筋混凝土造,1984年3月21日,十二層,一層 陽台 夾層
113,RPWNMLQKNHOFFJE17CA,24.0,35.19,水箱、樓梯間、管理員室、受電室、防空避難室、停車場、機械瞭望台,鋼筋混凝土造,1984年3月21日,十二層,nan
114,RPUNMLQKNHOFFLE17CA,27.0,100.93,住家用,鋼筋混凝土造,1981年6月20日,五層,五層 陽台
115,RPUNMLQKNHOFFLE17CA,27.0,10.82,共有部份,鋼筋混凝土造,1981年6月20日,五層,nan
116,RPSNMLMLNHOFFLE66CA,34.0,78.44,住商用,鋼筋混凝土造,1974年10月1日,二層,一層 二層 屋頂突出物 騎樓
117,RPTNMLTLNHOFFLE47CA,nan,238.58,Ｈ２集合住宅,鋼筋混凝土造,108年2月18日,三層,一層 二層 三層 陽台 屋頂突出物
118,RPUNMLTLNHOFFLE57CA,nan,230.46,Ｈ２集合住宅,鋼筋混凝土造,108年2月18日,三層,一層 二層 三層 陽台 屋頂突出物
119,RPVNMLTLNHOFFLE67CA,nan,230.46,Ｈ２集合住宅,鋼筋混凝土造,108年2月18日,三層,一層 二層 三層 陽台 屋頂突出物
120,RPVNMLPKNHOFFBE88DA,44.0,116.08,nan,鋼筋混凝土造,1964年3月28日,四層,一層 二層 騎樓
121,RPOOMLLLNHOFFCE08DA,26.0,131.23,住商用,鋼筋混凝土造,1982年3月19日,七層,一層 二層 陽台 平台 騎樓 地下層
122,RPOOMLLLNHOFFCE08DA,26.0,20.07,見使用執照,鋼筋混凝土造,1982年3月19日,七層,nan
123,RPPNMLKKNHOFFDE18CD,34.0,104.47,nan,鋼筋混凝土造,1974年1月29日,五層,五層 陽台 電梯樓梯間
124,RPPNMLOKNHOFFIE09CD,21.0,155.69,住宅、停車空間,鋼筋混凝土造,1986年10月2日,五層,一層 二層 三層 四層 五層 陽台
125,RPPNMLNKNHOFFDE48CD,33.0,95.18,nan,鋼筋混凝土造,1974年10月28日,七層,三層 陽台
126,RPSNMLRKNHOFFLE17DA,39.0,94.8,住商用,加強磚造,1969年11月1日,二層,一層 二層 騎樓
127,RPRNMLKMNHOFFIE88DA,22.0,133.16,集合住宅,鋼筋混凝土造,1985年12月28日,十二層,十一層 十二層 陽台 花台 雨遮
128,RPRNMLKMNHOFFIE88DA,22.0,37.71,防空避難室、樓梯間、機械室、水箱、門廳兼停車場、廣場式頂蓋型,鋼筋混凝土造,1985年12月28日,十二層,nan
129,RPPOMLLLNHOFFGE58DA,1.0,129.81,集合住宅,鋼筋混凝土造,101年6月5日,十四層,八層 陽台
130,RPPOMLLLNHOFFGE58DA,1.0,78.46,本共有部分之項目有：防空避難室兼停車空間、停車空間、門廊、安全梯、緊急升降機、梯廳、排煙室、電梯、污水控制室、發電機室、門廳、進排風管道、過樑、廁所、社區活動室、管理站、活動室、社區教室、警衛室、走廊、管委會使用空間、樓梯間、水箱、電梯機械房等項。,鋼筋混凝土造,101年6月5日,十四層,nan
131,RPTNMLKLNHOFFFE68DA,23.0,207.18,住家用,鋼筋混凝土造,1984年11月21日,五層,一層 二層 三層 四層 五層 陽台 防空避難室
132,RPTNMLKLNHOFFFE68DA,23.0,20.34,通道,鋼筋混凝土造,1984年11月21日,五層,nan
133,RPXOMLMLNHOFFEE66DA,12.0,93.9,住家用,鋼筋混凝土造,1996年4月10日,十五層,六層 陽台 雨遮
134,RPXOMLMLNHOFFEE66DA,12.0,60.97,共用部分,鋼筋混凝土造,1996年4月10日,十五層,nan
135,RPWNMLTLNHOFFLE77CA,nan,238.58,Ｈ２集合住宅,鋼筋混凝土造,108年2月18日,三層,一層 二層 三層 陽台 屋頂突出物
136,RPTOMLRKNHOFFLE27CA,59.0,20.87,住家用,磚石造,1949年7月1日,一層,一層 見其他登記事項
137,RPVNMLRLNHOFFIE17CA,25.0,101.34,住商用,鋼筋混凝土造,1982年11月16日,七層,一層 二層 陽台 平台 騎樓 花台
138,RPVNMLRLNHOFFIE17CA,25.0,39.38,樓梯間、通道、會議室、辦公室、防空避難室兼停車空間、門廳,鋼筋混凝土造,1982年11月16日,八層,nan
139,RPOPMLKKOHOFFFE28CA,25.0,23.42,住家用,鋼筋混凝土造,1983年8月1日,十六層,九層 陽台
140,RPOPMLKKOHOFFFE28CA,25.0,9.43,共有部份,鋼筋混凝土造,1983年8月1日,十六層,nan
141,RPPOMLQJOHOFFEE68CA,22.0,0.15,住商用,鋼筋混凝土造,1986年3月3日,十一層,地下層
142,RPPOMLQJOHOFFEE68CA,22.0,97.56,住家用,鋼筋混凝土造,1986年3月3日,十一層,三層 陽台 雨遮
143,RPPOMLQJOHOFFEE68CA,22.0,23.9,見使用執照,鋼筋混凝土造,1986年3月3日,十一層,nan
144,RPPOMLQJOHOFFEE68CA,22.0,29.41,見使用執照,鋼筋混凝土造,1986年3月3日,十一層,nan
145,RPTPMLTLNHOFFEE96CA,29.0,72.24,住商用,鋼筋混凝土造,1978年12月5日,五層,一層 陽台 騎樓 夾層
146,RPTPMLTLNHOFFEE96CA,29.0,74.79,住商用,鋼筋混凝土造,1978年12月5日,五層,一層 陽台 騎樓 夾層
147,RPTNMLRLNHOFFEE56CA,25.0,149.13,住商用,鋼筋混凝土造,1983年5月2日,九層,一層 二層 陽台 平台 騎樓 夾層
148,RPTNMLRLNHOFFEE56CA,25.0,70.96,見使用執照,鋼筋混凝土造,1983年5月2日,九層,nan
149,RPOOMLKLNHOFFEE08CA,48.0,70.67,nan,加強磚造,1960年3月15日,二層,一層 二層
150,RPUNMLLLNHOFFDE58CA,24.0,114.32,住家用,鋼筋混凝土造,1983年12月27日,十六層,一層 二層 三層 陽台 平台 露台 花台
151,RPUNMLLLNHOFFDE58CA,24.0,27.2,見使用執照,鋼筋混凝土造,1983年12月27日,十六層,nan
152,RPVNMLMLNHOFFDE78CA,37.0,137.17,nan,鋼筋混凝土造,1971年3月11日,五層,一層 地下層
153,RPQNMLNLNHOFFDE38CA,32.0,101.88,nan,鋼筋混凝土造,1976年5月4日,五層,五層 陽台 電梯樓梯間 花台
154,RPQNMLNLNHOFFDE38CA,32.0,8.06,nan,鋼筋混凝土造,1976年5月4日,五層,nan
155,RPSNMLKKOHOFFDE28CA,40.0,56.7,住家用,鋼筋混凝土造,1967年12月16日,五層,二層
156,RPSNMLKKOHOFFDE28CA,40.0,61.56,住家用,鋼筋混凝土造,1967年12月16日,五層,一層
157,RPPPMLKKOHOFFCE08CA,11.0,243.66,廠房,鋼骨造、鋼筋混凝土,1997年10月2日,一層,一層 見其他登記事項
158,RPWOMLOJOHOFFCE98CA,29.0,154.68,住商用,鋼筋混凝土造,1979年8月24日,七層,一層 二層 陽台 平台 地下層
159,RPWOMLOJOHOFFCE98CA,29.0,33.36,見使用執照,鋼筋混凝土造,1979年8月24日,七層,nan
160,RPQNMLOJOHOFFCE28CA,1.0,33.96,集合住宅,鋼筋混凝土,107年5月9日,十四層,七層 陽台 雨遮
161,RPQNMLOJOHOFFCE28CA,1.0,35.82,本共有部分之項目有防空避難室兼停車空間、車道、管委會使用空間、公共服務空間、安全梯、緊急昇降機道、昇降機道、梯廳、陽台、排煙室、樓梯間、機械室、水箱等１３項。,鋼筋混凝土,107年5月9日,十四層,nan
162,RPVOMLLLNHOFFCE68CA,23.0,115.49,住家用,鋼筋混凝土造,1985年3月26日,十四層,十一層 陽台
163,RPVOMLLLNHOFFCE68CA,23.0,61.16,見使用執照,鋼筋混凝土造,1985年3月26日,十四層,nan
164,RPPOMLLJOHOFFBE87CA,39.0,76.85,nan,鋼筋混凝土造,1969年1月29日,五層,四層
165,RPSNMLSKNHOFFAE68CA,7.0,311.68,餐廳,鋼筋混凝土造,101年5月15日,二層,一層 二層 陽台 地下一層
166,RPROMLRKNHOFFAE58CA,25.0,80.97,住家用,鋼筋混凝土造,1982年12月24日,十二層,三層 陽台
167,RPROMLRKNHOFFAE58CA,25.0,14.34,見使用執照,鋼筋混凝土造,1982年12月24日,十二層,nan
168,RPTNMLSKNHOFFAE78CA,2.0,100.88,店舖、集合住宅,鋼筋混凝土,106年1月3日,十五層,一層 陽台 見其他登記事項
169,RPTNMLSKNHOFFAE78CA,2.0,39.06,本共有部分之項目有防空避難室兼停車空間、梯廳、樓梯間、機械室、水箱、管委會使用空間、騎樓、門廳兼梯廳、門廊及車道等１０項。,鋼筋混凝土,106年1月3日,十五層,nan
170,RPRNMLKLNHOFFAE87CA,50.0,70.6,nan,加強磚造,1958年10月14日,二層,一層 二層
171,RPVOMLNLNHOFFCE88CA,21.0,118.96,住家用,鋼筋混凝土造,1986年11月10日,九層,三層 四層 陽台
172,RPVOMLNLNHOFFCE88CA,21.0,59.56,見其他登記事項,鋼筋混凝土造,1986年11月10日,九層,nan
173,RPRNMLKKOHOFFDE18CA,26.0,138.55,住家用,鋼筋混凝土造,1982年10月6日,十三層,七層 陽台 電梯樓梯間 花台
174,RPRNMLKKOHOFFDE18CA,26.0,46.9,見使用執照,鋼筋混凝土造,1982年10月6日,十三層,nan
175,RPRNMLSKNHOFFDE88CA,21.0,146.78,住家用,鋼筋混凝土造,1986年12月15日,十四層,四層 五層 陽台 露台 花台
176,RPRNMLSKNHOFFDE88CA,21.0,85.19,見使用執照,鋼筋混凝土造,1986年12月15日,十四層,nan
177,RPSOMLSKNHOFFDE09CA,37.0,70.91,nan,鋼筋混凝土造,1970年12月15日,五層,五層
178,RPWNMLMLNHOFFDE88CA,25.0,93.63,住家用,鋼筋混凝土造,1983年10月4日,二十二層,十三層 陽台 電梯樓梯間 花台
179,RPWNMLMLNHOFFDE88CA,25.0,20.05,見使用執照,鋼筋混凝土造,1983年10月4日,二十二層,nan
180,RPWNMLMLNHOFFDE88CA,25.0,98.66,住家用,鋼筋混凝土造,1983年10月4日,二十二層,十三層 陽台 電梯樓梯間 花台
181,RPWNMLMLNHOFFDE88CA,25.0,13.27,見使用執照,鋼筋混凝土造,1983年10月4日,二十二層,nan
182,RPQNMLOLNHOFFDE48CA,20.0,92.07,住家用,鋼筋混凝土造,1987年12月23日,十四層,九層 陽台
183,RPQNMLOLNHOFFDE48CA,20.0,51.26,見使用執照,鋼筋混凝土造,1987年12月23日,十四層,nan
184,RPTOMLNLNHOFFEE88CA,12.0,64.43,住商用,鋼筋混凝土造,1996年4月2日,十五層,一層 陽台 夾層
185,RPTOMLNLNHOFFEE88CA,12.0,12.22,共有部份,鋼筋混凝土造,1996年4月2日,十五層,nan
186,RPRPMLOLNHOFFEE88CA,5.0,174.92,住家用,鋼筋混凝土造,102年10月15日,四層,一層 二層 三層 四層 陽台
187,RPVNMLMKOHOFFEE88CA,23.0,91.71,住家用,鋼筋混凝土造,1985年9月21日,二十層,十七層 陽台 花台
188,RPVNMLMKOHOFFEE88CA,23.0,47.44,見使用執照,鋼筋混凝土造,1985年9月21日,二十層,nan
189,RPRNMLKLNHOFFGE48CA,16.0,206.75,停車空間、住宅,鋼筋混凝土造,1992年2月10日,四層,一層 二層 三層 四層 陽台
190,RPUNMLSLNHOFFGE96CA,22.0,99.26,住家用,鋼筋混凝土造,1986年2月28日,十六層,十一層 十二層 陽台 花台
191,RPUNMLSLNHOFFGE96CA,22.0,64.51,共有部份,鋼筋混凝土造,1986年2月28日,十六層,nan
192,RPXNMLKKOHOFFGE09CA,20.0,101.82,住商用,鋼筋混凝土造,1988年2月6日,十四層,一層 二層 陽台 夾層
193,RPXNMLKKOHOFFGE09CA,20.0,22.09,共有部份,鋼筋混凝土造,1988年2月6日,十四層,nan
194,RPPNMLTKNHOFFLE96CA,37.0,76.08,住家用,鋼筋混凝土造,1970年12月1日,五層,四層
